Month,Open,High,Low,Close
Jan-99,3064.95,3515.49,3042.25,3315.57
Feb-99,3331.91,3406.28,3157.7,3399.63
Mar-99,3447.5,3817.94,3417.22,3739.96
Apr-99,3750.22,3754.73,3183.47,3325.69
May-99,3380.61,4197.08,3363.06,3963.56
Jun-99,3954.26,4285.99,3830.15,4140.73
Jul-99,4156.62,4810.33,4120.73,4542.34
Aug-99,4571.36,4965.79,4470.52,4898.21
Sep-99,4910.64,4914.12,4513.55,4764.42
Oct-99,4808.63,5150.99,4368.85,4444.56
Nov-99,4490.06,4770.11,4209.41,4622.21
Dec-99,4609.66,5077.23,4584.74,5005.82
Jan-00,5209.54,5668.28,5184.48,5205.29
Feb-00,5217.65,6150.69,5127.79,5446.98
Mar-00,5464.65,5828.79,4867.23,5001.28
Apr-00,5070.5,5542.81,4284.17,4657.55
May-00,4736.02,4757.89,3831.86,4433.61
Jun-00,4406.52,4919.63,4321.26,4748.77
Jul-00,4846.69,5058.9,4052.61,4279.86
Aug-00,4295.35,4500.3,4142.81,4477.31
Sep-00,4571.89,4790.63,4004.73,4090.38
Oct-00,4035.64,4197.39,3491.55,3711.02
Nov-00,3749.35,4046.19,3734.98,3997.99
Dec-00,3968.89,4332.65,3803.69,3972.12
Jan-01,3990.65,4409.33,3929.37,4326.72
Feb-01,4303.13,4462.11,4020.68,4247.04
Mar-01,4288.23,4386.98,3436.75,3604.38
Apr-01,3491.41,3676.82,3096.51,3519.16
May-01,3565.53,3759.96,3420.14,3631.91
Jun-01,3637.03,3651.32,3287.94,3456.78
Jul-01,3480.06,3513.79,3241.66,3329.28
Aug-01,3335,3359.07,3241.12,3244.95
Sep-01,3245.71,3267.93,2594.87,2811.6
Oct-01,2817.74,3083.65,2718.41,2989.35
Nov-01,3003.95,3377.81,3003.95,3287.56
Dec-01,3301.05,3500.2,3100.57,3262.33
Jan-02,3262.01,3466.73,3236.76,3311.03
Feb-02,3334.69,3758.11,3290,3562.31
Mar-02,3551.56,3758.27,3454.27,3469.35
Apr-02,3482.94,3538.49,3296.88,3338.16
May-02,3361.33,3478.02,3097.73,3125.73
Jun-02,3162.27,3377.88,3148.57,3244.7
Jul-02,3246.44,3366.74,2932.35,2987.65
Aug-02,2998.46,3185.08,2931.78,3181.23
Sep-02,3206.81,3227.62,2973.97,2991.36
Oct-02,2976.04,3038.92,2828.48,2949.32
Nov-02,2956.94,3245.98,2928.63,3228.82
Dec-02,3247.6,3413.83,3186.62,3377.28
Jan-03,3383.85,3416.92,3199.18,3250.38
